temperature,rate_5,rate_3,rate_10,rate_3_diff,rate_5_diff,rate_10_diff,rate_3_diff_reaction_0,rate_3_diff_reaction_1,rate_3_diff_cumulative,rate_3_diff_diff,rate_5_diff_reaction_0,rate_5_diff_reaction_1,rate_5_diff_cumulative,rate_10_diff_reaction_0,rate_10_diff_reaction_1,rate_10_diff_cumulative,rate_10_diff_diff
56.0607,100.52127,99.49524,99.69343,0.0,0.0,0.0,5.1406856669234236e-111,8.521658080027655e-30,8.521658080027655e-30,-0.0,8.461154361731174e-104,5.169437323212841e-21,5.169437323212841e-21,3.6372219600809795e-114,5.816272151720102e-24,5.816272151720102e-24,-0.0
57.01562,100.51647,99.49626,99.69783,0.0,0.0,0.0,1.2318111702818016e-110,1.0418034006018107e-29,1.0418034006018107e-29,-0.0,1.804053512339196e-103,5.863054592487815e-21,5.863054592487815e-21,7.756980891014761e-114,6.663180317527554e-24,6.663180317527554e-24,-0.0
57.97053,100.51079,99.48608,99.70614,0.0,0.0,0.0,2.951639084103136e-110,1.2736395095773652e-29,1.2736395095773652e-29,-0.0,3.8465002897349577e-103,6.6497302667626596e-21,6.6497302667626596e-21,1.654292093670441e-113,7.633396028106373e-24,7.633396028106373e-24,-0.0
58.92545,100.50772,99.50199,99.69727,0.0,0.0,0.0,7.072717979690371e-110,1.5570701848838029e-29,1.5570701848838029e-29,-0.0,8.201354166632044e-103,7.541968137282138e-21,7.541968137282138e-21,3.528053085457558e-113,8.744895844553908e-24,8.744895844553908e-24,-0.0
59.88036,100.51079,99.50573,99.69183,0.0,0.0,0.0,1.6947492702893117e-109,1.9035703910232532e-29,1.9035703910232532e-29,-0.0,1.7486460885112492e-102,8.553912129302503e-21,8.553912129302503e-21,7.524100429437215e-113,1.0018227036483872e-23,1.0018227036483872e-23,-0.0
60.83528,100.51151,99.51212,99.69723,0.0,0.0,0.0,4.0609584347892866e-109,2.3271833814840102e-29,2.3271833814840102e-29,-0.0,3.728393293573664e-102,9.70164655411177e-21,9.70164655411177e-21,1.604639581905509e-112,1.1476982414978746e-23,1.1476982414978746e-23,-0.0
61.79019,100.51209,99.51169,99.7027,0.0,0.0,0.0,9.730780109990562e-109,2.845059537123512e-29,2.845059537123512e-29,-0.0,7.949468120477866e-102,1.1003365517177606e-20,1.1003365517177606e-20,3.4221337023168315e-112,1.3148128642217631e-23,1.3148128642217631e-23,-0.0
62.74511,100.51035,99.51395,99.70549,0.0,0.0,0.0,2.3316896639230447e-108,3.478187780892835e-29,3.478187780892835e-29,-0.0,1.6949538172759098e-101,1.2479759148760741e-20,1.2479759148760741e-20,7.298269400852706e-112,1.5062629412077314e-23,1.5062629412077314e-23,-0.0
63.70002,100.50772,99.51761,99.70519,0.0,0.0,0.0,5.587143963355929e-108,4.2522009209369845e-29,4.2522009209369845e-29,-0.0,3.613884125191817e-101,1.4154231522891008e-20,1.4154231522891008e-20,1.5564650135070911e-111,1.7255876330486793e-23,1.7255876330486793e-23,-0.0
64.65494,100.51165,99.51532,99.70857,0.0,0.0,0.0,1.3387915134195433e-107,5.198468816599042e-29,5.198468816599042e-29,-0.0,7.70537927865581e-101,1.6053397486952313e-20,1.6053397486952313e-20,3.3194205632251404e-111,1.976850679055418e-23,1.976850679055418e-23,-0.0
65.60985,100.5095,99.51352,99.71066,0.0,0.0,0.0,3.2079830511445873e-107,6.355302037123069e-29,6.355302037123069e-29,-0.0,1.64289714385671e-100,1.8207362982793085e-20,1.8207362982793085e-20,7.079160398179178e-111,2.2646969468868054e-23,2.2646969468868054e-23,-0.0
66.56477,100.50991,99.51024,99.71192,0.0,0.0,0.0,7.686969428807083e-107,7.76958569793373e-29,7.76958569793373e-29,-0.0,3.502919620745832e-100,2.0650364145823914e-20,2.0650364145823914e-20,1.5097487185489275e-110,2.5944597721752537e-23,2.5944597721752537e-23,-0.0
67.51968,100.51033,99.51303,99.71397,0.0,0.0,0.0,1.841934864024792e-106,9.498578438330309e-29,9.498578438330309e-29,-0.0,7.468725979556061e-100,2.342112789741009e-20,2.342112789741009e-20,3.2197647559214776e-110,2.9722351754324187e-23,2.9722351754324187e-23,-0.0
68.4746,100.50991,99.51441,99.70517,0.0,0.0,0.0,4.413644574761923e-106,1.161235433879722e-28,1.161235433879722e-28,-0.0,1.5924518995963929e-99,2.6563694053032982e-20,2.6563694053032982e-20,6.86668395807468e-110,3.405022736796713e-23,3.405022736796713e-23,-0.0
69.42951,100.50991,99.50573,99.70066,0.0,0.0,0.0,1.0575878953286633e-105,1.4196491657217358e-28,1.4196491657217358e-28,-0.0,3.3953353663241145e-99,3.0127879172027776e-20,3.0127879172027776e-20,1.4644229683142298e-109,3.9008229998374846e-23,3.9008229998374846e-23,-0.0
70.38443,100.50987,99.50573,99.69667,0.0,0.0,0.0,2.5341922603884263e-105,1.7355722496972422e-28,1.7355722496972422e-28,-0.0,7.239398350762678e-99,3.4170334080323635e-20,3.4170334080323635e-20,3.123125590422688e-109,4.468822358491097e-23,4.468822358491097e-23,-0.0
71.33934,100.5086,99.51081,99.69517,0.0,0.0,0.0,6.0723762723167484e-105,2.121795136840161e-28,2.121795136840161e-28,-0.0,1.5435433407742387e-98,3.8755140545758147e-20,3.8755140545758147e-20,6.660532034777509e-109,5.119520891830919e-23,5.119520891830919e-23,-0.0
