temperature,rate_5,rate_3,rate_10,rate_3_diff,rate_5_diff,rate_10_diff,rate_3_diff_reaction_0,rate_3_diff_reaction_1,rate_3_diff_cumulative,rate_3_diff_diff,rate_5_diff_reaction_0,rate_5_diff_reaction_1,rate_5_diff_cumulative,rate_10_diff_reaction_0,rate_10_diff_reaction_1,rate_10_diff_cumulative,rate_10_diff_diff
191.65863,100.19967,99.05569,99.66266,0.0,0.0,0.0,0.0,3.748328061332004e-06,3.748328061332004e-06,-0.0,0.0,2.017199102252134e-07,2.017199102252134e-07,0.0,3.663000615681462e-08,3.663000615681462e-08,-0.0
192.61355,100.17046,99.0307,99.65451,0.0,0.0,0.0,0.0,3.922088579641049e-06,3.922088579641049e-06,-0.0,0.0,2.1316208012507025e-07,2.1316208012507025e-07,0.0,3.881991027255273e-08,3.881991027255273e-08,-0.0
193.56846,100.15679,99.00489,99.64727,0.0,0.0,0.0,0.0,4.104401887805241e-06,4.104401887805241e-06,-0.0,0.0,2.2527779160446457e-07,2.2527779160446457e-07,0.0,4.114376035072139e-08,4.114376035072139e-08,-0.0
194.52338,100.14681,98.98224,99.64122,0.0,0.0,0.0,0.0,4.295717953252925e-06,4.295717953252925e-06,-0.0,0.0,2.3810841602270917e-07,2.3810841602270917e-07,0.0,4.36099846978932e-08,4.36099846978932e-08,-0.0
195.47829,100.1364,98.96296,99.63227,0.0,0.0,0.0,0.0,4.496503497837099e-06,4.496503497837099e-06,-0.0,0.0,2.516974000604286e-07,2.516974000604286e-07,0.0,4.622744657904836e-08,4.622744657904836e-08,-0.0
196.43321,100.11795,98.93284,99.62776,0.0,0.0,0.0,0.0,4.707259476907024e-06,4.707259476907024e-06,-0.0,0.0,2.660915125619802e-07,2.660915125619802e-07,0.0,4.9005686176827976e-08,4.9005686176827976e-08,-0.0
197.38812,100.1003,98.88873,99.62483,0.0,0.0,0.0,0.0,4.928505749192287e-06,4.928505749192287e-06,-0.0,0.0,2.8133988506745893e-07,2.8133988506745893e-07,0.0,5.19547380751777e-08,5.19547380751777e-08,-0.0
198.34304,100.08169,98.85343,99.62072,0.0,0.0,0.0,0.0,5.160800367201385e-06,5.160800367201385e-06,-0.0,0.0,2.974954136334078e-07,2.974954136334078e-07,0.0,5.508540421427244e-08,5.508540421427244e-08,-0.0
199.29795,100.06961,98.82377,99.6106,0.0,0.0,0.0,0.0,5.404722721843889e-06,5.404722721843889e-06,-0.0,0.0,3.1461368541442025e-07,3.1461368541442025e-07,0.0,5.840904865646457e-08,5.840904865646457e-08,-0.0
200.25287,100.0444,98.78807,99.60012,0.0,0.0,0.0,0.0,5.660894844192672e-06,5.660894844192672e-06,-0.0,0.0,3.327545555045285e-07,3.327545555045285e-07,0.0,6.193790560252419e-08,6.193790560252419e-08,-0.0
201.20778,100.02622,98.75421,99.59109,0.0,0.0,0.0,0.0,5.929962864419018e-06,5.929962864419018e-06,-0.0,0.0,3.51980945560407e-07,3.51980945560407e-07,0.0,6.568484854762493e-08,6.568484854762493e-08,-0.0
202.1627,100.00391,98.71237,99.57873,0.0,0.0,0.0,0.0,6.212620548442252e-06,6.212620548442252e-06,-0.0,0.0,3.7236061839884775e-07,3.7236061839884775e-07,0.0,6.966373796997011e-08,6.966373796997011e-08,-0.0
203.11761,99.97859,98.67028,99.5692,0.0,0.0,0.0,0.0,6.509588892974568e-06,6.509588892974568e-06,-0.0,0.0,3.9396483287392727e-07,3.9396483287392727e-07,0.0,7.388916160819187e-08,7.388916160819187e-08,-0.0
204.07253,99.95893,98.63266,99.56095,0.0,0.0,0.0,0.0,6.82164214699402e-06,6.82164214699402e-06,-0.0,0.0,4.168703420343823e-07,4.168703420343823e-07,0.0,7.837682705359177e-08,7.837682705359177e-08,-0.0
205.02744,99.9299,98.58647,99.5549,0.0,0.0,0.0,0.0,7.14958534484901e-06,7.14958534484901e-06,-0.0,0.0,4.41157886454192e-07,4.41157886454192e-07,0.0,8.314326945396543e-08,8.314326945396543e-08,-0.0
205.98236,99.90869,98.52715,99.54646,0.0,0.0,0.0,0.0,7.494283092212752e-06,7.494283092212752e-06,-0.0,0.0,4.6691444525164356e-07,4.6691444525164356e-07,0.0,8.820629494603345e-08,8.820629494603345e-08,-0.0
206.93727,99.88424,98.49598,99.53554,0.0,0.0,0.0,0.0,7.85663481703045e-06,7.85663481703045e-06,-0.0,0.0,4.94231547795057e-07,4.94231547795057e-07,0.0,9.358465160752473e-08,9.358465160752473e-08,-0.0
207.89219,99.85845,98.44898,99.52352,0.0,0.0,0.0,0.0,8.237606633084477e-06,8.237606633084477e-06,-0.0,0.0,5.232078108751822e-07,5.232078108751822e-07,0.0,9.929853046884606e-08,9.929853046884606e-08,-0.0
208.8471,99.82877,98.39049,99.51034,0.0,0.0,0.0,0.0,8.638204063795588e-06,8.638204063795588e-06,-0.0,0.0,5.539470461293745e-07,5.539470461293745e-07,0.0,1.0536919498755407e-07,1.0536919498755407e-07,-0.0
209.80202,99.79858,98.3497,99.49712,0.0,0.0,0.0,0.0,9.059507334248321e-06,9.059507334248321e-06,-0.0,0.0,5.865611212122283e-07,5.865611212122283e-07,0.0,1.1181954729153968e-07,1.1181954729153968e-07,-0.0
210.75693,99.76761,98.26963,99.48788,0.0,0.0,0.0,0.0,9.502641295161907e-06,9.502641295161907e-06,-0.0,0.0,6.21167837361582e-07,6.21167837361582e-07,0.0,1.186737108289949e-07,1.186737108289949e-07,-0.0
211.71185,99.7319,98.2089,99.47152,0.0,0.0,0.0,0.0,9.968814536766329e-06,9.968814536766329e-06,-0.0,0.0,6.578941576114815e-07,6.578941576114815e-07,0.0,1.259576705349416e-07,1.259576705349416e-07,-0.0
212.66676,99.69944,98.14435,99.4622,0.0,0.0,0.0,0.0,1.0459286209275748e-05,1.0459286209275748e-05,-0.0,0.0,6.968738256150688e-07,6.968738256150688e-07,0.0,1.3369880260544756e-07,1.3369880260544756e-07,-0.0
