temperature,rate_3,rate_5,rate_10,rate_3_diff,rate_3_diff_reaction_0,rate_3_diff_reaction_1,rate_3_diff_reaction_2,rate_3_diff_reaction_3,rate_3_diff_cumulative,rate_5_diff,rate_5_diff_reaction_0,rate_5_diff_reaction_1,rate_5_diff_reaction_2,rate_5_diff_reaction_3,rate_5_diff_cumulative,rate_10_diff,rate_10_diff_reaction_0,rate_10_diff_reaction_1,rate_10_diff_reaction_2,rate_10_diff_reaction_3,rate_10_diff_cumulative
74.95001,99.63797,100.46776,99.54166,0.002900936,7.25e-16,0.001398021,0.000630377,6.09e-05,0.002089308,0.000591708,0.000647431,0.0,5.65e-05,4.03e-54,0.000703956,-0.0023876754715885795,1.3377577291295731e-36,0.003763463172971072,0.0015480415962731446,5.1764918582235797e-05,0.005363269687826452
75.90492,99.62116,100.46421,99.54653,0.009068959,1.07e-15,0.001424113,0.000640231,6.18e-05,0.002126134,0.005209872,0.000682168,0.0,5.75e-05,1.28e-53,0.000739638,-0.005534519464418963,3.229214538983083e-36,0.0038165420973132456,0.0015672367316233256,5.244418447517862e-05,0.00543622301341175
76.85984,99.62065,100.45781,99.55223,0.000267037,1.59e-15,0.001450772,0.000650263,6.27e-05,0.00216372,0.004948066,0.000718599,0.0,5.84e-05,4.03e-53,0.000777033,-0.00617856258907068,7.757257176695965e-36,0.0038704992556971,0.001586709656813779,5.31337276504938e-05,0.005510342640161373
77.81475,99.62065,100.45476,99.55833,-0.005016101,2.35e-15,0.001478012,0.000660478,6.36e-05,0.002202084,0.000932044,0.000756797,0.0,5.94e-05,1.26e-52,0.000816212,-0.005911525910825333,1.8543997899528366e-35,0.003925350249403979,0.0016064645731282724,5.383371019360745e-05,0.0055856485327258594
78.76967,99.63023,100.45603,99.56352,-0.004513433,3.46e-15,0.001505848,0.000670878,6.45e-05,0.002241245,-0.002597103,0.000796836,0.0,6.04e-05,3.94e-52,0.000857251,-0.0025394627214723187,4.411541460658704e-35,0.003981113321373274,0.0016265065902323801,5.454432670558523e-05,0.00566216423831124
79.72458,99.62927,100.45972,99.56318,-0.00028797,5.08e-15,0.001534294,0.000681469,6.55e-05,0.002281223,-0.001424236,0.000838794,0.0,6.14e-05,1.22e-51,0.00090023,0.002398097819650502,1.0443866073116948e-34,0.004037804768903916,0.0016468400727537777,5.526574572487644e-05,0.0057399105873825705
80.6795,99.63078,100.45875,99.55894,0.000816852,7.44e-15,0.001563366,0.000692254,6.64e-05,0.002322036,0.00217298,0.000882753,0.0,6.25e-05,3.78e-51,0.000945229,0.004565852727104414,2.4605035433897706e-34,0.004095443625207216,0.0016674703214397605,5.5998169344439e-05,0.005818912115991415
81.63441,99.62771,100.45557,99.55446,0.00659741,1.09e-14,0.00159308,0.000703236,6.74e-05,0.002363705,0.00059694,0.000928796,0.0,6.35e-05,1.16e-50,0.000992331,0.004717697112774033,5.768603284586258e-34,0.004154046918366425,0.0016884018713445223,5.674177284077139e-05,0.005899190562551719
82.58933,99.61818,100.45761,99.54993,0.006361785,1.59e-14,0.001623453,0.000714421,6.84e-05,0.002406251,-0.001686009,0.000977009,0.0,6.46e-05,3.54e-50,0.001041625,-0.0015028169694275562,1.3458884889649936e-33,0.004213634510571972,0.0017096402223644904,5.7496766121934847e-05,0.005980771499058397
83.54424,99.61556,100.45879,99.55733,-0.005681046,2.31e-14,0.0016545,0.000725812,6.94e-05,0.002449695,0.001000066,0.001027481,0.0,6.57e-05,1.0700000000000001e-49,0.001093198,-0.003256881424668734,3.1248667726398896e-33,0.004274224197385456,0.0017311900874029936,5.8263331501380275e-05,0.00606367761628983
