temperature,rate_3,rate_10,rate_5
230.25424,91.23104,96.90467,94.03721
231.20915,90.9467,96.74122,93.78792
232.16407,90.60993,96.57292,93.54285
233.11898,90.26717,96.41941,93.27658
234.0739,89.92591,96.27493,93.03237
235.02881,89.59024,96.08171,92.75696
235.98373,89.21786,95.90139,92.49071
236.93864,88.86256,95.70546,92.2102
237.89356,88.50068,95.51351,91.93111
238.84847,88.12333,95.31517,91.64062
239.80339,87.73046,95.10759,91.35722
240.7583,87.35135,94.89466,91.04809
241.71322,86.96334,94.68735,90.71112
242.66813,86.5711,94.46575,90.35963
243.62305,86.17611,94.2417,89.98974
244.57796,85.7643,94.00994,89.59991
245.53288,85.34384,93.78533,89.18958
246.48779,84.9307,93.55554,88.77253
247.44271,84.47973,93.31747,88.32955
248.39762,84.05533,93.06174,87.88673
249.35254,83.57012,92.82278,87.41314
250.30745,83.13258,92.57456,86.93277
251.26237,82.65211,92.3306,86.47163
252.21728,82.16853,92.05781,85.96906
253.1722,81.66274,91.80715,85.46916
254.12711,81.15042,91.56745,84.96314
255.08203,80.62377,91.29736,84.4609
256.03694,80.09568,91.02211,83.91765
256.99186,79.5483,90.72832,83.38629
257.94677,79.00217,90.44063,82.84894
258.90169,78.43569,90.13495,82.303
259.8566,77.85766,89.83558,81.76299
260.81152,77.26695,89.52465,81.22216
261.76643,76.71213,89.20459,80.66301
262.72135,76.10454,88.86766,80.10187
263.67626,75.52277,88.54617,79.54016
264.63118,74.93186,88.20359,78.97789
265.58609,74.34228,87.86104,78.42227
266.54101,73.7818,87.49985,77.85548
267.49592,73.20986,87.12673,77.29933
268.45084,72.65753,86.76936,76.75086
269.40575,72.1465,86.38605,76.18371
270.36067,71.7069,86.01038,75.66288
271.31558,71.37829,85.61311,75.11787
272.2705,71.15643,85.21274,74.57668
273.22541,70.94555,84.79461,74.03804
274.18033,70.75891,84.37368,73.53827
275.13524,70.57408,83.94623,73.01438
276.09016,70.38744,83.50635,72.52805
277.04507,70.18793,83.06838,72.0419
277.99999,69.98979,82.62812,71.58872
278.9549,69.77286,82.18108,71.18583
279.90982,69.56409,81.72671,70.84552
280.86473,69.35345,81.27445,70.54273
281.81965,69.13675,80.81532,70.27428
282.77456,68.91301,80.35089,70.04272
283.72948,68.6741,79.88261,69.79405
284.68439,68.44954,79.4199,69.59908
285.63931,68.22167,78.95883,69.35035
286.59422,67.97864,78.48431,69.1432
287.54914,67.72925,78.01331,68.90157
288.50405,67.47906,77.5572,68.70399
289.45897,67.2291,77.11504,68.4466
290.41388,66.98594,76.6415,68.23266
291.3688,66.72128,76.19303,67.97686
292.32371,66.45933,75.74424,67.74423
293.27863,66.18386,75.29764,67.5099
294.23354,65.8823,74.84831,67.26146
295.18846,65.62534,74.42426,67.02808
296.14337,65.34194,73.9954,66.76706
297.09829,65.03681,73.581,66.52931
298.0532,64.73659,73.16873,66.26983
299.00812,64.4524,72.78344,66.03388
299.96303,64.13244,72.41352,65.75831
300.91795,63.83053,72.06844,65.5119
301.87286,63.51023,71.741,65.24374
302.82778,63.1456,71.44361,65.03439
303.78269,62.8393,71.1627,64.74074
304.73761,62.51079,70.88496,64.46894
305.69252,62.17678,70.63566,64.22008
306.64744,61.81956,70.39522,63.94571
307.60235,61.47062,70.17159,63.66156
308.55727,61.12729,69.94719,63.4037
309.51218,60.75658,69.725,63.10061
310.4671,60.38501,69.50386,62.82107
311.42201,60.0049,69.28178,62.54412
312.37693,59.62109,69.07069,62.24894
